PaperID,Title,Arxiv_link,Pub_Year,Category,isReview,isConference,isJournalArticle,ReferenceCount,CitationCount,journalName,Leaf,url,DOI,publisher,old_data,authorCount
0000706ae09c7231a8e9914881071b03e87b3adc,Diabetic retinopathy screening.,,2003,cs.CV,0,0,1,12,35,The Journal of audiovisual media in medicine,1,https://www.semanticscholar.org/paper/0000706ae09c7231a8e9914881071b03e87b3adc,10.1007/978-3-319-08329-2_3,Springer Science and Business Media LLC,0,2
00008c83024de6b75ccda1d78f7f1822af67fa33,Improved i-vector extraction technique for speaker verification with short utterances,,2018,cs.CV,0,0,1,39,9,International Journal of Speech Technology,1,https://www.semanticscholar.org/paper/00008c83024de6b75ccda1d78f7f1822af67fa33,10.1007/s10772-017-9477-2,Springer Science and Business Media LLC,0,3
0000a190fba2438add1cc2a8863fa6ca9403e161,Spacecraft Pose Estimation Using a Monocular Camera,,2019,cs.CV,0,0,0,436,9,"",1,https://www.semanticscholar.org/paper/0000a190fba2438add1cc2a8863fa6ca9403e161,10.22215/etd/2019-13472,Carleton University,0,1
0000c8b2b59cd81add0632a0cdda2db5f5908789,A Vision System for Multi-View Face Recognition,http://arxiv.org/abs/1706.00510v1,2017,cs.CV,0,0,1,27,3,ArXiv,0,https://www.semanticscholar.org/paper/0000c8b2b59cd81add0632a0cdda2db5f5908789,NA,,0,3
0000e6e3d378b80ece30cd6d2a1f4c8a4bd23cdc,Few-Shot Learning for Dermatological Disease Diagnosis,,2019,cs.CV,0,0,1,47,27,"",1,https://www.semanticscholar.org/paper/0000e6e3d378b80ece30cd6d2a1f4c8a4bd23cdc,NA,,0,6
0000f028e1fe064dd1ae4bd3f9bb19fcbe2f7adf,Dynamics of Fluids in Porous Media,,1975,cs.CV,0,0,0,0,11531,Soil Science,1,https://www.semanticscholar.org/paper/0000f028e1fe064dd1ae4bd3f9bb19fcbe2f7adf,10.1097/00010694-197508000-00022,Ovid Technologies (Wolters Kluwer Health),0,1
0000fcfd467a19cf0e59169c2f07d730a0f3a8b9,Exploring Visual Relationship for Image Captioning,,2018,cs.CV,0,1,1,40,571,"",0,https://www.semanticscholar.org/paper/0000fcfd467a19cf0e59169c2f07d730a0f3a8b9,10.1007/978-3-030-01264-9_42,Springer Science and Business Media LLC,0,4
0001115b6645c878de6d6e020990d149f81dc059,Calibration of head-mounted displays for augmented reality applications,,1993,cs.CV,0,0,1,7,168,Proceedings of IEEE Virtual Reality Annual International Symposium,1,https://www.semanticscholar.org/paper/0001115b6645c878de6d6e020990d149f81dc059,10.1109/VRAIS.1993.380772,Institute of Electrical and Electronics Engineers (IEEE),0,3
000115f877c3a3fc77736afe620a22500188f3a5,Sequential Subspace Clustering via Temporal Smoothness for Sequential Data Segmentation,,2018,cs.CV,0,0,1,32,7,IEEE Transactions on Image Processing,1,https://www.semanticscholar.org/paper/000115f877c3a3fc77736afe620a22500188f3a5,10.1109/TIP.2017.2767785,Institute of Electrical and Electronics Engineers (IEEE),0,3
00014392d0af87e518366ae5fd2204c97c960be8,Sparse Time-Varying Graphs for Slide Transition Detection in Lecture Videos,,2017,cs.CV,0,0,1,21,2,"",1,https://www.semanticscholar.org/paper/00014392d0af87e518366ae5fd2204c97c960be8,10.1007/978-3-319-71607-7_50,Springer Science and Business Media LLC,0,4
000170e0e67cae990b5cebce7f9f2f7b0f72c496,Auxiliary Stacked Denoising Autoencoder based Collaborative Filtering Recommendation,,2020,cs.CV,0,0,0,28,4,KSII Transactions on Internet and Information Systems,1,https://www.semanticscholar.org/paper/000170e0e67cae990b5cebce7f9f2f7b0f72c496,10.3837/tiis.2020.06.001,Korean Society for Internet Information (KSII),0,2
0001739746fe04bc6d9b9a82788d9032e18d0205,Bridging machine learning and cryptography in defence against adversarial attacks,,2018,cs.CV,0,0,1,33,16,ArXiv,1,https://www.semanticscholar.org/paper/0001739746fe04bc6d9b9a82788d9032e18d0205,10.1007/978-3-030-11012-3_23,Springer Science and Business Media LLC,0,3
000178cd12c8a6e5da8215b6365fae03c20fd18d,End-to-End Representation Learning for Correlation Filter Based Tracking,,2017,cs.CV,0,1,1,41,1176,2017 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),0,https://www.semanticscholar.org/paper/000178cd12c8a6e5da8215b6365fae03c20fd18d,10.1109/CVPR.2017.531,Institute of Electrical and Electronics Engineers (IEEE),0,5
000194903cb83bd4af714f950d0266382e2772fc,Generalizable Representation Learning for Mixture Domain Face Anti-Spoofing,,2021,cs.CV,0,1,1,33,28,ArXiv,0,https://www.semanticscholar.org/paper/000194903cb83bd4af714f950d0266382e2772fc,10.1609/aaai.v35i2.16199,Association for the Advancement of Artificial Intelligence (AAAI),0,8
00019e2a42e561727905ab08fd95b58249627191,Neural parameters estimation for brain tumor growth modeling,,2019,cs.CV,0,0,1,19,18,"",1,https://www.semanticscholar.org/paper/00019e2a42e561727905ab08fd95b58249627191,10.1007/978-3-030-32245-8_87,Springer Science and Business Media LLC,0,8
0001a3b35908087e8be016b708689b25b38002fa,Iris Segmentation Using Improved Hough Transform,,2012,cs.CV,0,0,1,16,42,"",1,https://www.semanticscholar.org/paper/0001a3b35908087e8be016b708689b25b38002fa,10.1007/978-3-642-31837-5_59,Springer Science and Business Media LLC,0,4
0001b52966ec25662e34fc74e00694a591545be7,Tutorial: An introduction to terahertz time domain spectroscopy (THz-TDS),,2018,cs.CV,1,0,0,135,183,Journal of Applied Physics,1,https://www.semanticscholar.org/paper/0001b52966ec25662e34fc74e00694a591545be7,10.1063/1.5047659,AIP Publishing,0,2
0001c52fd9ea02693a03de04af5906269674b83a,Social Influences on Eating,,2019,cs.CV,0,0,0,0,133,"",1,https://www.semanticscholar.org/paper/0001c52fd9ea02693a03de04af5906269674b83a,10.1007/978-3-030-28817-4,Springer Science and Business Media LLC,0,4
0001d635a0ee4aae92594c21da559befb2d22905,Phong Reflectance Model,,2020,cs.CV,0,0,0,9,3,"",1,https://www.semanticscholar.org/paper/0001d635a0ee4aae92594c21da559befb2d22905,10.1007/978-0-387-31439-6_536,Springer Science and Business Media LLC,0,1
0001f288e83004b6589d522be82ffcbe684647bc,Effective criteria for weed identification in wheat fields using machine vision,,1995,cs.CV,0,0,0,0,94,Transactions of the ASABE,1,https://www.semanticscholar.org/paper/0001f288e83004b6589d522be82ffcbe684647bc,10.13031/2013.27914,American Society of Agricultural and Biological Engineers (ASABE),0,1
000201fb7857188346d7f2804063509a83cf3790,iParking: An Intelligent Indoor Location-Based Smartphone Parking Service,,2012,cs.CV,0,0,1,37,65,"Sensors (Basel, Switzerland)",1,https://www.semanticscholar.org/paper/000201fb7857188346d7f2804063509a83cf3790,10.3390/s121114612,MDPI AG,0,5
00021f14a02740a3ada3b9e090dce979f5003e43,Numerical Calculation of Time‐Dependent Viscous Incompressible Flow of Fluid with Free Surface,,1965,cs.CV,0,0,0,7,5833,Physics of Fluids,1,https://www.semanticscholar.org/paper/00021f14a02740a3ada3b9e090dce979f5003e43,10.1063/1.1761178,AIP Publishing,0,2
0002567d3f7d132c99dcb28010ae1a535aacc36c,Classification of Point Cloud for Road Scene Understanding with Multiscale Voxel Deep Network,,2018,cs.CV,0,0,0,34,9,"",1,https://www.semanticscholar.org/paper/0002567d3f7d132c99dcb28010ae1a535aacc36c,NA,,0,3
000294a14e65f3c227a0a5c04bcb218243799538,Geometric understanding of point clouds using Laplace-Beltrami operator,,2012,cs.CV,0,1,1,36,44,2012 IEEE Conference on Computer Vision and Pattern Recognition,1,https://www.semanticscholar.org/paper/000294a14e65f3c227a0a5c04bcb218243799538,10.1109/CVPR.2012.6247678,Institute of Electrical and Electronics Engineers (IEEE),1,4
00029664548a7a0d4afe318af8933524146873f3,Syntax and Semantics,,2002,cs.CV,0,0,0,16,279,"",1,https://www.semanticscholar.org/paper/00029664548a7a0d4afe318af8933524146873f3,10.1108/s0092-4563(2012)0000038018,Emerald,0,1
00034fd6a4f67aa9dfea81c67feeb13251eed961,Improved segmentation of low-contrast lesions using sigmoid edge model,,2016,cs.CV,0,0,1,37,54,International Journal of Computer Assisted Radiology and Surgery,1,https://www.semanticscholar.org/paper/00034fd6a4f67aa9dfea81c67feeb13251eed961,10.1007/s11548-015-1323-x,Springer Science and Business Media LLC,0,2
00035282b3fc11736967f03b6750b2ffc5fef42f,Dissecting Pruned Neural Networks,http://arxiv.org/abs/1907.00262v1,2019,cs.CV,0,0,1,11,1,ArXiv,0,https://www.semanticscholar.org/paper/00035282b3fc11736967f03b6750b2ffc5fef42f,NA,,0,2
0003678d3d567451ce3111588fdcd33468760f9d,Application of the 4-D XCAT Phantoms in Biomedical Imaging and Beyond,,2018,cs.CV,1,0,1,106,53,IEEE Transactions on Medical Imaging,1,https://www.semanticscholar.org/paper/0003678d3d567451ce3111588fdcd33468760f9d,10.1109/TMI.2017.2738448,Institute of Electrical and Electronics Engineers (IEEE),0,6
00039106db4e96a2a1bffedca57874b314d4f64d,Neural-Response-Based Extreme Learning Machine for Image Classification,,2019,cs.CV,0,0,1,49,15,IEEE Transactions on Neural Networks and Learning Systems,1,https://www.semanticscholar.org/paper/00039106db4e96a2a1bffedca57874b314d4f64d,10.1109/TNNLS.2018.2845857,Institute of Electrical and Electronics Engineers (IEEE),0,3
0003975c67dc6e9f0c405cd4dd072b04b684b742,Support Vector Machines for Visualization and Dimensionality Reduction,,2008,cs.CV,0,1,1,33,17,"",1,https://www.semanticscholar.org/paper/0003975c67dc6e9f0c405cd4dd072b04b684b742,10.1007/978-3-540-87536-9_36,Springer Science and Business Media LLC,1,2
00039fb94e6c07a496ddef1360d2d6819fc79a0f,ResAttr-GAN: Unpaired Deep Residual Attributes Learning for Multi-Domain Face Image Translation,,2019,cs.CV,0,0,1,0,18,IEEE Access,1,https://www.semanticscholar.org/paper/00039fb94e6c07a496ddef1360d2d6819fc79a0f,10.1109/ACCESS.2019.2941272,Institute of Electrical and Electronics Engineers (IEEE),0,4
0003a45ae653fcccb568b90dbb339cf5811a18bf,Mammograms Classification Using Gray-level Co-occurrence Matrix and Radial Basis Function Neural Network,,2015,cs.CV,0,0,0,29,118,Procedia Computer Science,1,https://www.semanticscholar.org/paper/0003a45ae653fcccb568b90dbb339cf5811a18bf,10.1016/J.PROCS.2015.07.340,Elsevier BV,0,4
0003b8fef7d5e048a9870cdafdec27af129ae990,Learning Cross-Domain Correspondence for Control with Dynamics Cycle-Consistency,http://arxiv.org/abs/2012.09811v1,2020,cs.CV,0,0,1,48,26,ArXiv,0,https://www.semanticscholar.org/paper/0003b8fef7d5e048a9870cdafdec27af129ae990,NA,,0,5
000458c2651ab147d503429f6460aa80155e8e35,Segment as Points for Efficient Online Multi-Object Tracking and Segmentation,,2020,cs.CV,0,1,1,42,47,"",0,https://www.semanticscholar.org/paper/000458c2651ab147d503429f6460aa80155e8e35,10.1007/978-3-030-58452-8_16,Springer Science and Business Media LLC,0,8
00047c225cf4227b9450020fd61ffc51ea6aaf86,Uncertainty-Guided Mutual Consistency Learning for Semi-Supervised Medical Image Segmentation,http://arxiv.org/abs/2112.02508v2,2021,cs.CV,0,0,1,57,4,ArXiv,0,https://www.semanticscholar.org/paper/00047c225cf4227b9450020fd61ffc51ea6aaf86,10.2139/ssrn.3990565,Elsevier BV,0,4
0004b88f2e2705c482dffc2cfbc49aa99a700476,Weakly supervised learning of point-level annotation for coral image segmentation,,2019,cs.CV,0,0,0,14,3,OCEANS 2019 MTS/IEEE SEATTLE,1,https://www.semanticscholar.org/paper/0004b88f2e2705c482dffc2cfbc49aa99a700476,10.23919/OCEANS40490.2019.8962759,Institute of Electrical and Electronics Engineers (IEEE),0,6
0004c2d8c9e3ba0008ca69c56eeb0b6c018542e5,Biophysics of Malarial Parasite Exit from Infected Erythrocytes,,2011,cs.CV,0,0,1,41,92,PLoS ONE,1,https://www.semanticscholar.org/paper/0004c2d8c9e3ba0008ca69c56eeb0b6c018542e5,10.1371/journal.pone.0020869,Public Library of Science (PLoS),0,12
